UniProt Accession Number,Reagent Type,Target Name / Protein Biomarker,Target Species,Host Organism,Isotype,Clonality,Vendor,Catalog Number,Conjugate,RRID,Availability,Method,Tissue Preservation,Target Tissue,Tissue State,Detergent,Antigen Retrieval Conditions,Dye Inactivation Conditions,Recommend,Agree,Disagree,Contributor,Image Files,Captions,MD5
F7DRX3,Primary Antibody,CD57,Human,Mouse,IgM,HNK-1,BioLegend,359602,Unconjugated,AB_2562403,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q07108,Primary Antibody,CD69,Human,Mouse,IgG1,FN50,BioLegend,310906,PE,AB_314841,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,NA,No,0000-0002-3218-4479,NA,0000-0002-3218-4479,NA,NA,NA
Q07108,Primary Antibody,CD69,Human,Mouse,IgG2a,15B5G2,Novus Biologicals,NBP2-25236AF532,AF532,NA,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P33681,Primary Antibody,CD80,Human,Goat,IgG,Polyclonal,R&D Systems,AF140,Unconjugated,AB_354778,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P33681,Primary Antibody,CD80,Human,Mouse,IgG2b,62N3G8,Novus Biologicals,NBP2-25255AF488,AF488,NA,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0002-3882-457X,NA,0000-0002-3882-457X,NA,NA,NA
P33681,Primary Antibody,CD80,Human,Mouse,IgG1,2D10,BioLegend,305215,AF647,AB_528874,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q01151,Primary Antibody,CD83,Human,Mouse,IgG1,HB15e,BioLegend,305314,AF488,AB_528877,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q01151,Primary Antibody,CD83,Human,Mouse,IgG1,HB15e,BD Biosciences,550634,PE,AB_393794,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P42081,Primary Antibody,CD86,Human,Goat,IgG,Polyclonal,R&D Systems,AF-141-NA,Unconjugated,AB_354385,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P42081,Primary Antibody,CD86,Human,Mouse,IgG2b,IT2.2,BioLegend,305415,AF647,AB_528882,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q13241,Primary Antibody,CD94,Human,Mouse,IgG1,DX22,BioLegend,305504,FITC,AB_314534,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q13241,Primary Antibody,CD94,Human,Mouse,IgG1,DX22,BioLegend,305512,AF647,AB_2249691,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P38570,Primary Antibody,CD103,Human,Rabbit,IgG,ITGAE/3904R,Novus Biologicals,NBP3-07530-100ug,Unconjugated,NA,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P38570,Primary Antibody,CD103,Human,Rabbit,IgG,ITGAE/3904R,Novus Biologicals,NBP3-08855AF647,AF647,NA,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P17813,Primary Antibody,CD105 (Endoglin),Human,Mouse,IgG1,SN6h,BioLegend,800505,FITC,AB_2687058,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Thymus,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 30 minutes,Yes,0000-0002-3882-457X,NA,0000-0002-3882-457X,NA,NA,NA
P33151,Primary Antibody,CD144 (VE-Cadherin),Human,Mouse,IgG2a,BV9,BioLegend,348513,AF647,AB_2563669,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q86VB7,Primary Antibody,CD163,Human,Mouse,IgG1,GHI/61,BioLegend,333611,BV421,AB_2562462,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q86VB7,Primary Antibody,CD163,Human,Mouse,IgG1,GHI/61,BioLegend,333628,BV510,AB_2650632,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q86VB7,Primary Antibody,CD163,Human,Mouse,IgG1,GHI/61,Thermo Fisher Scientific,12-1639-41,PE,AB_1963571,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q86VB7,Primary Antibody,CD163,Human,Mouse,IgG1,10D6,Thermo Fisher Scientific,MA5-11458,Unconjugated,AB_10982556,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q86VB7,Primary Antibody,CD163,Human,Mouse,IgG2b,6D3.2F3,Novus Biologicals,NBP2-36495AF488,AF488,NA,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q86VB7,Primary Antibody,CD163,Human,Mouse,IgG2b,EPR19518,Abcam,ab213612,Unconjugated,NA,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q13740,Primary Antibody,CD166,Human,Mouse,IgG1,3A6,BioLegend,343903,PE,NA,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Pancreas,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0002-3882-457X,NA,0000-0002-3882-457X,NA,NA,NA
P49682,Primary Antibody,CD183 (CXCR3),Human,Mouse,IgG1,G025H7,BioLegend,353711,AF647,AB_10962946,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P49682,Primary Antibody,CD183 (CXCR3),Human,Rabbit,IgG,Polyclonal,Abcam,ab154033,Unconjugated,NA,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P49682,Primary Antibody,CD183 (CXCR3),Human,Rabbit,IgG,Polyclonal,Novus Biologicals,NBP2-16044,Unconjugated,NA,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P32302,Primary Antibody,CD185 (CXCR5),Human,Rat,IgG2b,RF8B2,BD Biosciences,552032,Unconjugated,AB_394324,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P32302,Primary Antibody,CD185 (CXCR5),Human,Rat,IgG2b,RF8B2,BD Biosciences,558112,AF488,AB_397034,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P22897,Primary Antibody,CD206,Human,Mouse,IgG2b,685645,R&D Systems,MAB25341,Unconjugated,AB_10890782,Stock,Multiplexed 2D Imaging,FFPE,Lung,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P08138,Primary Antibody,CD271 (NGFR5),Human,Mouse,IgG1,NGRF5,BioLegend,818201,Unconjugated,AB_2564818,Stock,Multiplexed 2D Imaging,FFPE,Spleen,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P08138,Primary Antibody,CD271 (NGFR5),Human,Mouse,IgG1,NGFR5,Thermo Fisher Scientific,MA5-13311,Biotin,AB_10982271,Stock,Multiplexed 2D Imaging,FFPE,Spleen,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P10645,Primary Antibody,Chromogranin A,Human,Mouse,IgG1,LK2H10,Novus Biologicals,NBP2-34672AF532,AF532,AB_2892553,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Pancreas,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0002-3882-457X,NA,0000-0002-3882-457X,NA,NA,NA
Q9BWP8,Primary Antibody,COLEC11,Human,Rabbit,IgG,Polyclonal,Proteintech,15269-1-AP,Unconjugated,AB_10732940,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Thymus,NA,0.3% Triton-X-100,NA,NA,No,0000-0002-3882-457X,NA,0000-0002-3882-457X,NA,NA,NA
Q6ICW0,Primary Antibody,CXCL12,Human,Mouse,IgG1,79018,R&D Systems,MAB350,Unconjugated,AB_2088149,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Primary Antibody,Cytokeratin (Pan),Human,Mouse,IgG1,AE1/AE3,BioLegend,"914204	 (Unconjugated)",AF532,NA,Custom,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Thymus,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0002-3882-457X,NA,0000-0002-3882-457X,NA,NA,NA
NA,Primary Antibody,Cytokeratin (Pan),Human,Mouse,IgG1,AE1/AE3,Thermo Fisher Scientific,41-9003-80,eF570,AB_11217482,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Primary Antibody,Cytokeratin (Pan),Human,Mouse,IgG1,AE1/AE3,Thermo Fisher Scientific,42-9003-82,eF615,AB_10804663,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Primary Antibody,Cytokeratin (Pan),Human,Mouse,IgG1,AE1/AE3,Novus Biologicals,NBP2-33200AF750,AF750,AB_2868569,Stock,IBEX2D Manual,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),1 mg/ml LiBH4 15 minutes,Yes,0000-0002-5187-810X,NA,0000-0002-5187-810X,NA,NA,NA
O15075,Primary Antibody,DCAMKL1,Human,Rabbit,IgG,EPR6085,Abcam,ab187184,Unconjugated,NA,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,NA,No,0000-0002-3882-457X,NA,0000-0002-3882-457X,NA,NA,NA
O15075,Primary Antibody,DCAMKL1,Human,Rabbit,IgG,Polyclonal,Abcam,ab31704,Unconjugated,AB_873537,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q9NNX6,Primary Antibody,DC-SIGN,Human,Mouse,IgG2a,DC28,R&D Systems,MAB16211-SP,Unconjugated,NA,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q9NNX6,Primary Antibody,DC-SIGN,Human,Rat,IgG2a,h209,LSBio,LS-B3782,Unconjugated,AB_10689801,Stock,Multiplexed 2D Imaging,FFPE,Lymph Node,Follicular Lymphoma,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q9NNX6,Primary Antibody,DC-SIGN,Human,Mouse,IgG2b,C209/1781,Novus Biologicals,NBP2-54351AF647,AF647,NA,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q9NNX6,Primary Antibody,DC-SIGN,Human,Mouse,IgG2b,102E11.06,Eurobio Scientific (Dendritics),DDX0202A647-100,AF647,NA,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P32249,Primary Antibody,EBI2,Human,Rabbit,IgG,Polyclonal,Novus Biologicals,NLS46,Unconjugated,AB_10001402,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P32249,Primary Antibody,EBI2,Human,Rabbit,IgG,Polyclonal,RayBiotech,119-10961,Unconjugated,NA,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P32249,Primary Antibody,EBI2,Human,Mouse,IgG2a,SA313E4,BioLegend,368903,AF647,AB_2566384,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P16422,Primary Antibody,EpCAM,Human,Mouse,IgG2b,9C4,BioLegend,324202 (Unconjugated),AF532,NA,Custom,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P16422,Primary Antibody,EpCAM,Human,Rabbit,IgG,Polyclonal,Abcam,ab71916,Unconjugated,AB_1603782,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Skin,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P16422,Primary Antibody,EpCAM,Human,Mouse,IgG1,1B7,Thermo Fisher Scientific,50-9326-42,eF660,AB_10598658,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q8TBJ5,Primary Antibody,FEZF2,Human,Rabbit,IgG,Polyclonal,Abcam,ab214186,Unconjugated,NA,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Thymus,NA,0.3% Triton-X-100,NA,NA,No,0000-0002-3882-457X,NA,0000-0002-3882-457X,NA,NA,NA
Q12951,Primary Antibody,FOXI1,Human,Mouse,IgG1,OTI1D4,Novus Biologicals,NBP2-70747AF488,AF488,NA,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Thymus,NA,0.3% Triton-X-100,NA,NA,No,0000-0002-3882-457X,NA,0000-0002-3882-457X,NA,NA,NA
Q9BZS1,Primary Antibody,FOXP3,Human,Mouse,IgG1,236A/E7,Thermo Fisher Scientific,13-4777-82,Biotin,AB_466655,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q9BZS1,Primary Antibody,FOXP3,Human,Mouse,IgG1,236A/E7,Thermo Fisher Scientific,53-4777-41,AF488,AB_10852836,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q9BZS1,Primary Antibody,FOXP3,Human,Mouse,IgG1,236A/E7,Thermo Fisher Scientific,50-4777-42,eF660,AB_2574219,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q14392,Primary Antibody,GARP,Human,Mouse,IgG2b,7B11,BioLegend,352502,Unconjugated,AB_10897447,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q14392,Primary Antibody,GARP,Human,Mouse,IgG2b,7B11,BioLegend,352503,PE,AB_10896792,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q14392,Primary Antibody,GARP,Human,Mouse,IgG2b,Plato-1,Enzo,ALX-804-867-C100,Unconjugated,AB_2051806,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P23771,Primary Antibody,GATA-3,Human,Mouse,IgG1,L50-823,BD Biosciences,560077,AF488,AB_1645303,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P10144,Primary Antibody,Granzyme B,Human,Rabbit,IgG,EP230,Cell Marque,262R-17,Unconjugated,AB_2889344,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P10144,Primary Antibody,Granzyme B,Human,Rabbit,IgG,Polyclonal,Abcam,ab4059,Unconjugated,AB_304251,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P68431,Primary Antibody,Histone H3 (citrulline R2 + R8 + R17),Human,Rabbit,IgG,Polyclonal,Abcam,ab5103,Unconjugated,AB_304752,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lung,NA,0.3% Triton-X-100,NA,NA,No,0000-0002-3882-457X,NA,0000-0002-3882-457X,NA,NA,NA
P01903,Primary Antibody,HLA-DR,Human,Mouse,IgG2a,L243,BioLegend,307602 (Unconjugated),AF532,NA,Custom,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P01903,Primary Antibody,HLA-DR,Human,Mouse,IgG2a,L243,BioLegend,307622,AF647,AB_493177,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P01903,Primary Antibody,HLA-DR,Human,Mouse,IgG2a,L243,BioLegend,307625,AF700,AB_493770,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P01903,Primary Antibody,HLA-DR,Human,Mouse,IgG2a,LN-3,Novus Biologicals,NBP2-47670AF532,AF532,NA,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P01903,Primary Antibody,HLA-DR,Human,Mouse,IgG2a,LN-3,Novus Biologicals,NBP2-47670PE,PE,NA,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P01903,Primary Antibody,HLA-DR,Human,Mouse,IgG2a,LN-3,Novus Biologicals,NBP2-47670AF647,AF647,NA,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P01911,Primary Antibody,HLA-DRB,Human,Mouse,IgG2b,SPM288,Novus Biologicals,NBP2-45312-0.02mg,Unconjugated,NA,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q9Y6W8,Primary Antibody,ICOS,Human,Armenian Hamster,IgG,CS98.4A,BioLegend,313515,AF647,AB_2122583,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q9Y6W8,Primary Antibody,ICOS,Human,Rabbit,IgG,SP98,Abcam,ab105227,Unconjugated,AB_10710236,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P01880,Primary Antibody,IgD,Human,Mouse,IgG2a,IA6-2,BioLegend,348229,AF700,AB_2563334,Stock,Multiplexed 2D Imaging,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q15306,Primary Antibody,IRF4,Human,Rabbit,IgG,Polyclonal,Novus Biologicals,NBP1-82814,Unconjugated,AB_11038596,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q15306,Primary Antibody,IRF4,Human,Mouse,IgG1,4G10,Novus Biologicals,NBP1-47396,Unconjugated,AB_10010349,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q15306,Primary Antibody,IRF4,Human,Mouse,IgG1,MUM1p,Novus Biologicals,NB200-356,Unconjugated,AB_10003502,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q15306,Primary Antibody,IRF4,Human,Sheep,IgG,Polyclonal,R&D Systems,AF5525,Unconjugated,NA,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,No,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q15306,Primary Antibody,IRF4,Human,Rabbit,IgG,EP5699,Abcam,ab252024,AF647,NA,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
